Title,Release_Year,Genre,Description,Release_Year,Poster_URL,TMDB_ID
An Evening in Paris,Old is Gold,Musical/Romance,A classic romantic musical thriller set in Paris featuring mistaken identities and a memorable soundtrack.,Old is Gold,https://image.tmdb.org/t/p/w500/xlSfgJ3HW9nhUwjVyqZzHgAiatg.jpg,87149
Pyaar To Hona Hi Tha,Old is Gold,Romantic Comedy,"A remake of French Kiss, this romantic comedy follows a woman who falls for a thief while trying to win back her fiance.",Old is Gold,https://image.tmdb.org/t/p/w500/7AxLqNWoZIzvqdNAyb62JwDHr4W.jpg,60397
CID,Old is Gold,Crime Investigation Series,India's longest-running detective series following CID officers solving complex criminal cases.,Old is Gold,https://image.tmdb.org/t/p/w500/i38geiHIqpkE6UyImw7b3TmojWv.jpg,491120
Upendra,Old is Gold,Psychological Thriller,"An allegorical psychological thriller exploring three human emotions through relationships, touching upon Maslow's hierarchy of needs.",Old is Gold,https://image.tmdb.org/t/p/w500/4k9q0ruLyOmWZSTdTLkkcrAxmF4.jpg,559652
Monsoon Wedding,Old is Gold,Drama/Romance,"A chaotic Punjabi wedding in Delhi brings together family secrets, romance, and cultural traditions in this ensemble drama.",Old is Gold,https://image.tmdb.org/t/p/w500/vCwkv7tYFem0tQ9Duoq2MX7T7Zd.jpg,480
Kal Ho Naa Ho,Old is Gold,Romantic Drama,"A heartwarming story about friendship, love, and loss set in New York, revolving around a terminally ill man who brings joy to others.",Old is Gold,https://image.tmdb.org/t/p/w500/zhMI6I0kSLnewTMwE0A8Tz3Cj2f.jpg,4254
Hazaaron Khwaishein Aisi,Old is Gold,Political Drama,"Set in the 1970s, three young people with different ideologies navigate love and politics during India's Emergency period.",Old is Gold,https://image.tmdb.org/t/p/w500/13psYxACQGcK0i1nzGkW6Jyx0ts.jpg,21557
Yuva,Old is Gold,Political Drama,Three young men from different backgrounds get involved in politics and their lives intertwine in this multi-narrative political drama.,Old is Gold,https://image.tmdb.org/t/p/w500/50qZ0Sdc6vQMgVhYP0WIYaL4ryZ.jpg,1094662
Hava Aney Dey,Old is Gold,Drama,An Indian Gujarati language drama exploring family dynamics and cultural traditions.,Old is Gold,https://image.tmdb.org/t/p/w500/98uhq3zemaKNLRhI1tLXFGqRO47.jpg,301485
Black,Old is Gold,Drama,The story of a deaf-blind girl and her relationship with her teacher who helps her overcome challenges and discover the world.,Old is Gold,https://image.tmdb.org/t/p/w500/cFICDU9erHYmlAyCZzbb1adNMgh.jpg,31977
Kaal,Old is Gold,Horror/Thriller,A supernatural thriller about a group of friends on a wildlife trip who encounter a mysterious man-eating tiger in a jungle.,Old is Gold,https://image.tmdb.org/t/p/w500/5IPFJ2XFbYjdIw4912ZufCMolX.jpg,1257957
Kabhi Alvida Naa Kehna,Old is Gold,Romantic Drama,A complex tale of love and infidelity exploring marital relationships and emotional connections between two married individuals.,Old is Gold,https://image.tmdb.org/t/p/w500/lwgH4S0km8lD7rk5qy78EKW8YEn.jpg,14395
Valley of Flowers,Old is Gold,Fantasy/Romance,"A mystical love story spanning centuries about a Himalayan warrior and a Japanese woman, exploring themes of reincarnation.",Old is Gold,https://image.tmdb.org/t/p/w500/5E8fSf9UiAiL2An4sX3C4WVXlY4.jpg,8014
Life in a Metro,Old is Gold,Drama/Romance,"Multiple interconnected stories of urban life, love, and relationships in Mumbai exploring loneliness and human connections.",Old is Gold,https://image.tmdb.org/t/p/w500/leYdd4PLhSlNShxLPe1EE70z4Oe.jpg,20492
Bhool Bhulaiyaa,Old is Gold,Horror Comedy,A psychiatrist attempts to debunk the mystery of a haunted palace and a spirit possessing a woman.,Old is Gold,https://image.tmdb.org/t/p/w500/soRW3p4GlPphHiFkwbqYGrodQ5S.jpg,19025
Guru,Old is Gold,Biographical Drama,The rags-to-riches story of an ambitious man who becomes one of India's biggest business tycoons.,Old is Gold,https://image.tmdb.org/t/p/w500/uJCGUz6e6w9i6Iv4JqjiJ6MMgXG.jpg,604108
Sikandar,Old is Gold,Drama/War,A Kashmiri boy finds a gun and faces difficult choices amidst the conflict-ridden valley.,Old is Gold,https://image.tmdb.org/t/p/w500/avlYXNDoqQ5pgXnLCXD2vzwuOPh.jpg,326143
Crime Patrol,Old is Gold,Crime Drama Series,A long-running series depicting real-life crime cases and investigations based on true incidents.,Old is Gold,https://image.tmdb.org/t/p/w500/dIItlur2YisWVplLOQgB35X8dWj.jpg,214009
Shanghai,Old is Gold,Political Thriller,"A political thriller based on a Greek novel, exploring corruption and power struggles in a fictional Indian town.",Old is Gold,https://image.tmdb.org/t/p/w500/i7aiOk4NB0N88trcLURlHeUDqPo.jpg,38407
London Paris New York,Old is Gold,Romantic Drama,"Two people meet in three different cities over several years, exploring how their relationship evolves with time.",Old is Gold,https://image.tmdb.org/t/p/w500/n5wd8rEmSxlZpvfsu7vVblBHtdJ.jpg,85047
Agneepath,Old is Gold,Action Drama,A man seeks revenge for his father's death and aims to take over the criminal underworld of his hometown.,Old is Gold,https://image.tmdb.org/t/p/w500/xO9sErs0c3XMzh8O34ygQWcENTj.jpg,84858
Student of the Year,Old is Gold,Romantic Drama,Students at an elite school compete for the prestigious Student of the Year trophy amidst friendship and romance.,Old is Gold,https://image.tmdb.org/t/p/w500/yQIph97KwXmMiXu1kOWPj065P8J.jpg,138122
The Lunchbox,Old is Gold,Romance/Drama,A mistaken lunchbox delivery leads to an unlikely friendship and romance between a lonely man and a neglected housewife in Mumbai.,Old is Gold,https://image.tmdb.org/t/p/w500/jSOiz1h97i3qwjZJXY8SeLvjPsl.jpg,191714
Ishkq in Paris,Old is Gold,Romantic Comedy,"A woman and man meet in Paris and fall in love, but their brief romance faces challenges when they return to India.",Old is Gold,https://image.tmdb.org/t/p/w500/asgYvLKMjG5chS4xRaQDWsepza6.jpg,196313
Uc Dil Intaemashkil,Old is Gold,Romantic Comedy,A charming romantic comedy exploring modern love and relationships with humor and heart.,Old is Gold,,
Yeh Jawaani Hai Deewani,Old is Gold,Romantic Drama,A medical student embarks on a trekking trip where she falls for a carefree young man with big dreams.,Old is Gold,https://image.tmdb.org/t/p/w500/em39H81XLCDgXsI7V4IcBZseEO6.jpg,185008
Gori Tere Pyaar Mein,Old is Gold,Romantic Comedy,"A spoiled city boy follows a social activist to a village to win her back, discovering purpose along the way.",Old is Gold,https://image.tmdb.org/t/p/w500/icfBtvHEYI99OE8KYfLoEwMrm80.jpg,237305
Queen,Old is Gold,Comedy/Drama,"A shy Delhi girl goes on her honeymoon alone after her wedding is called off, discovering herself on a transformative journey.",Old is Gold,https://image.tmdb.org/t/p/w500/vKLp0X2RQOuA31R3AdaYtDdKIPK.jpg,247645
Tigers,Old is Gold,Drama/Thriller,"Based on a true story, a salesman in Pakistan risks his life to expose a multinational corporation's unethical practices.",Old is Gold,https://image.tmdb.org/t/p/w500/lh68NaHsyKzogkb60s9aWZQxg4.jpg,287637
Happy New Year,Old is Gold,Heist Comedy,A group of misfits plan an elaborate heist by disguising themselves as a dance troupe in an international competition.,Old is Gold,https://image.tmdb.org/t/p/w500/7JuAYeCo98oYC8cGVvDnnRaLK5o.jpg,126131
PK,Old is Gold,Comedy/Drama,"An alien questions religious beliefs and superstitions in India, leading to a satirical exploration of faith.",Old is Gold,https://image.tmdb.org/t/p/w500/pzSN4XWmmU9uDeLu3aUw6OclGeD.jpg,1202888
Kick,Old is Gold,Action Comedy,"An adrenaline junkie lives life on the edge, indulging in dangerous stunts and elaborate heists for thrills.",Old is Gold,https://image.tmdb.org/t/p/w500/muRGQIGFcHTyHimE2ru6RSjD8D6.jpg,280690
Humshakals,Old is Gold,Comedy,A comedy of errors involving lookalikes and mistaken identities leading to chaos.,Old is Gold,https://image.tmdb.org/t/p/w500/jl2BKSOuCH5g1a6Yt4FmbOujEe7.jpg,273505
Jai Ho,Old is Gold,Action Drama,An ex-army officer dedicates himself to helping ordinary people and inspires a chain of good deeds across society.,Old is Gold,https://image.tmdb.org/t/p/w500/zohBOXIinteJL6ABfZchvcFA6h8.jpg,354167
Hasee Toh Phasee,Old is Gold,Romantic Comedy,"A man falls for his fiancée's quirky sister who returns home after seven years, creating romantic complications.",Old is Gold,https://image.tmdb.org/t/p/w500/A6s9Nb0bfuH1KqXvnG22FCAgrP7.jpg,251626
Ungli,Old is Gold,Action Comedy,"A group of friends turn vigilantes to fight corruption, catching the attention of a determined cop.",Old is Gold,https://image.tmdb.org/t/p/w500/vZyn4wtVtRpWq4n9J2QRmTcwRJh.jpg,303904
Masaan,Old is Gold,Drama,"Set in Varanasi, this poignant drama explores caste discrimination, love, loss, and redemption through interconnected stories.",Old is Gold,https://image.tmdb.org/t/p/w500/nFGwFdL4D1JeuYCC8icRSbNV2eg.jpg,1565921
Tamasha,Old is Gold,Romantic Drama,A story about a man who loses his true identity in societal expectations until a past romance helps him rediscover himself.,Old is Gold,https://image.tmdb.org/t/p/w500/8kyGKzw8u6JCVKYVfSN6sJQEbSd.jpg,447109
Dilwale,Old is Gold,Romantic Action,A man's past life as a member of a crime family complicates his present-day romance in this action-packed love story.,Old is Gold,https://image.tmdb.org/t/p/w500/oQJfbkVuRsP8RdUVRzYOzYByd4B.jpg,159164
Bajrangi Bhaijaan,Old is Gold,Drama/Action,A devout man embarks on a journey to take a mute Pakistani girl separated in India back to her homeland.,Old is Gold,https://image.tmdb.org/t/p/w500/vhlliI7HZZlWfo5d6CiyfBAGLrW.jpg,348892
Sadness,Old is Gold,Action Thriller,An action thriller exploring themes of revenge and redemption in contemporary India.,Old is Gold,,1263213
Hero,Old is Gold,Romantic Action,A remake of the 1983 classic about young love facing obstacles from family and society.,Old is Gold,https://image.tmdb.org/t/p/w500/wD7D0B9U9ooanxyhtgLKaqM7www.jpg,10699
Singh Is Bliing,Old is Gold,Action Comedy,A lovable Punjabi man is sent to Goa where he falls in love and gets involved with Romanian mafia.,Old is Gold,https://image.tmdb.org/t/p/w500/tBkCntLUWwZ0kXDE1DlZBlvLbsK.jpg,283827
Befikre,Old is Gold,Romantic Comedy,A free-spirited romance set in Paris exploring modern relationships without the fear of commitment or heartbreak.,Old is Gold,https://image.tmdb.org/t/p/w500/kFFDdXLqpUuVTieIfAhm2oiuyhU.jpg,399624
Kapoor & Sons,Old is Gold,Family Drama,"Two brothers return home for their grandfather's birthday, confronting family secrets and personal revelations.",Old is Gold,https://image.tmdb.org/t/p/w500/oPdcOInH8TqR5udDTDPiDuLSN90.jpg,374173
Little Things,Old is Gold,Romantic Drama Series,A Netflix series following the everyday adventures of a young urban couple navigating modern relationships.,Old is Gold,https://image.tmdb.org/t/p/w500/6sIDNwvUiwboyZmkdmUbTuFn5mY.jpg,581004
Dear Zindagi,Old is Gold,Drama/Romance,A budding cinematographer seeks the help of a psychologist to overcome her past traumas and find emotional balance.,Old is Gold,https://image.tmdb.org/t/p/w500/oUg0N2isgZ5rrxdXnsemcKolfKZ.jpg,413543
Udta Punjab,Old is Gold,Crime Drama,A gritty multi-narrative drama exposing the drug crisis in Punjab through interconnected stories of abuse victims and fighters.,Old is Gold,https://image.tmdb.org/t/p/w500/c7BXGhHwvK1AfDCmfPTtw5LsuIU.jpg,398535
Spyder,Old is Gold,Action Thriller,An intelligence officer who can hack into surveillance systems uses his skills to track down a psychopath killing innocents.,Old is Gold,https://image.tmdb.org/t/p/w500/pdeHOB63NJdgDmLQEjMtURxbGOo.jpg,337608
The Extraordinary Journey of the Fakir,Old is Gold,Adventure/Comedy,An Indian street magician travels to Paris seeking his father and gets caught in a series of misadventures across Europe.,Old is Gold,https://image.tmdb.org/t/p/w500/40ZAC1HMDL8knY9r7uJ7uwj5udy.jpg,407447
Bioscopewala,Old is Gold,Drama,A bioscope seller forms a bond with a young girl in this adaptation of Rabindranath Tagore's Kabuliwala set in present-day Kolkata.,Old is Gold,https://image.tmdb.org/t/p/w500/cR0vfsesYb4lXXtDjAbCS8zkwMx.jpg,1314502
Dhaadak,Old is Gold,Romantic Tragedy,A remake exploring forbidden love between people from different castes in rural Rajasthan.,Old is Gold,,
Kurukshetra,Old is Gold,Mythological Action,"A retelling of the Mahabharata epic from Duryodhana's perspective, exploring his motivations.",Old is Gold,https://image.tmdb.org/t/p/w500/r0nXiVza2nehaNrJNnVKDfW67M4.jpg,1552485
Bottu,Old is Gold,Horror,"A medical student's blood spills on a tomb, causing him to be possessed by a spirit with a tragic past seeking justice.",Old is Gold,https://image.tmdb.org/t/p/w500/hT2hfqPYIemdqhxrrC52NEMaXAu.jpg,409157
Tughlaq Durbar,Recent Releases,Political Satire/Comedy,A budding politician has devious plans to rise in the ranks until he develops an alter ego that interferes with his every crooked move.,Recent Releases,https://image.tmdb.org/t/p/w500/Ajxa9eE4vojurvYqSmRQVLSh6bt.jpg,620637
Wild Dog,Recent Releases,Action Thriller,An NIA agent nicknamed Wild Dog leads a covert mission to capture terrorists behind bomb blasts across India.,Recent Releases,https://image.tmdb.org/t/p/w500/8377XckHbfJDMrkSpEa9ZQJlVE0.jpg,802068
Dongalunnaru Jagratha,Recent Releases,Survival Thriller,A small-time thief breaks into a car and gets trapped inside with a mysterious figure controlling his fate in this first Telugu survival thriller.,Recent Releases,https://image.tmdb.org/t/p/w500/g0YqbcgM14hRJPLdIfLXQjunyRk.jpg,982447
Major,Recent Releases,Biographical Action Drama,"Based on the life of Major Sandeep Unnikrishnan who was martyred during the 2008 Mumbai attacks, depicting his personal and professional journey.",Recent Releases,https://image.tmdb.org/t/p/w500/qd6yrmG54FobzjgAoR4wYkgVle5.jpg,411404
Virata Parvam,Recent Releases,Period Romantic Action Drama,"Set in 1990s Telangana during the Naxalite movement, a young woman pursues her love for a Naxal leader inspired by his revolutionary poetry.",Recent Releases,https://image.tmdb.org/t/p/w500/sOKseRpQp8keo9A8dj3wahHBgjV.jpg,1094501
Rocketry: The Nambi Effect,Recent Releases,Biographical Drama,The inspiring story of ISRO scientist Nambi Narayanan who was falsely accused of espionage and his fight for justice.,Recent Releases,https://image.tmdb.org/t/p/w500/o7A1agEoXvwyyOmIbHnUhfnC34j.jpg,607145
Khakee: The Bengal Chapter,Recent Releases,Action Crime,A Netflix series about an honest IPS officer taking on organized crime in West Bengal.,Recent Releases,,
Mishan Impossible,Recent Releases,Comedy Thriller,Three young boys set out to capture India's most-wanted criminal but encounter a child trafficking ring and a journalist.,Recent Releases,https://image.tmdb.org/t/p/w500/2uUectWqZTzpTtfwq4hGeY5v2l1.jpg,889630
BRO,Recent Releases,Fantasy/Drama,"A fantasy drama exploring themes of life, death, and second chances with spiritual undertones.",Recent Releases,https://image.tmdb.org/t/p/w500/cCirdTe57qpOvb1NFKECbQRMmfQ.jpg,1090486
Ranga Bali,Recent Releases,Romantic Action Comedy,A carefree young man gets caught up in local political disputes after falling for a medical student in this action-packed romantic comedy.,Recent Releases,,
Vinitha Pennana,Recent Releases,Romance/Drama,A Telugu romantic drama exploring modern relationships and emotional connections.,Recent Releases,,
Pathaan,Recent Releases,Action Thriller,An exiled RAW agent is brought back to stop a massive terrorist attack planned by a former agent turned rogue.,Recent Releases,https://image.tmdb.org/t/p/w500/arf00BkwvXo0CFKbaD9OpqdE4Nu.jpg,864692
Greater Kalesh,Recent Releases,Drama,A contemporary drama exploring urban conflicts and personal relationships in modern India.,Recent Releases,https://image.tmdb.org/t/p/w500/pGJ5NNMFENxOekN0Irrsq9Cd7PL.jpg,1563109
Zindagi Se Mere,Recent Releases,Drama,"A heartfelt drama about life, relationships, and finding meaning in everyday struggles.",Recent Releases,,
The Diplomat,Recent Releases,Political Thriller,A gripping political thriller following an Indian diplomat navigating international intrigue.,Recent Releases,https://image.tmdb.org/t/p/w500/q3bkhe5Y2Saf9vwjUY7tJKf7qyE.jpg,44135
Jewel Thief,Recent Releases,Crime Thriller,A modern adaptation exploring the world of high-stakes jewel theft and cat-and-mouse games.,Recent Releases,https://image.tmdb.org/t/p/w500/bDgXjS4bXj2RDj3KpIb023d7AAT.jpg,48922
Chilava,Recent Releases,Drama,A regional drama exploring family bonds and traditional values in contemporary settings.,Recent Releases,,
Bhoom,Recent Releases,Horror Thriller,A supernatural thriller exploring ancient curses and modern-day consequences.,Recent Releases,https://image.tmdb.org/t/p/w500/zVh5RNjIcM3Wggp0Be3fGdLxz75.jpg,456567
Mandala Murders,Recent Releases,Crime Thriller,A series of mysterious murders with occult symbols leads investigators into a dark conspiracy.,Recent Releases,,
Aap Jaisa Koi,Recent Releases,Romantic Drama,A nostalgic romantic story inspired by the classic Bollywood era of music and love.,Recent Releases,https://image.tmdb.org/t/p/w500/qusjoDePti9etsaq9DgyYSj2Sq8.jpg,1391013
Kushi,Recent Releases,Romantic Drama,"An atheist man falls for the daughter of his father's arch-rival, a devout Hindu leader, exploring love beyond beliefs.",Recent Releases,https://image.tmdb.org/t/p/w500/tiEnkpOarH20cCSikeLiWlvY1We.jpg,965489
Amigos,Recent Releases,Action Thriller,"Three doppelgängers become friends via an app, but one turns out to be a notorious criminal with sinister plans.",Recent Releases,,275567
Aay,Recent Releases,Comedy/Drama,A lighthearted comedy-drama set in rural Andhra Pradesh dealing with friendship and local life.,Recent Releases,https://image.tmdb.org/t/p/w500/xaFBtlMVpqY8ieXR9iB7Ji27fgO.jpg,1330078
Bhaje Vaayu Vegam,Recent Releases,Action Thriller,An aspiring cricketer makes a dangerous bet to pay for his father's surgery and gets caught in a crime web when the bookie cheats him.,Recent Releases,https://image.tmdb.org/t/p/w500/mIChfDh0c8DAkNEEXeAavMbY6u2.jpg,962108
Pilla Kothalo,Recent Releases,Romance/Drama,A contemporary romantic drama exploring modern relationships and societal expectations.,Recent Releases,,
Santosh,Recent Releases,Drama/Thriller,A contemporary drama exploring social issues and personal transformation in modern India.,Recent Releases,https://image.tmdb.org/t/p/w500/l42fcfptFniWfCYYL4c9GldJ8UT.jpg,372339
The Bands of Bollywood,Recent Releases,Music Documentary Series,A documentary series exploring the behind-the-scenes work of Bollywood's music bands and orchestras.,Recent Releases,,
Saare Jahan Se Achha,Recent Releases,Biographical Drama,"A biographical film about astronaut Rakesh Sharma, India's first man in space.",Recent Releases,,
Jaat,Recent Releases,Action Drama,"An action-packed drama exploring themes of loyalty, pride, and community in North India.",Recent Releases,,434611
The Royals,Recent Releases,Drama,A series exploring the lives of modern Indian royalty dealing with tradition and contemporary challenges.,Recent Releases,https://image.tmdb.org/t/p/w500/kg9jupoiAYpTqX2yDg1f5q2rBhB.jpg,385302
Raid 2,Recent Releases,Action Crime,Sequel to the hit film following honest tax officers conducting high-stakes raids on corrupt politicians.,Recent Releases,https://image.tmdb.org/t/p/w500/olA39iaXISiKEkACdELgr0ZRvIF.jpg,180299
Metro Indigo,Recent Releases,Urban Drama,"Interconnected stories of urban life, exploring relationships and dreams in a bustling metropolis.",Recent Releases,,
Maya,Recent Releases,Horror,"A chilling horror story about illusions, reality, and supernatural forces at play.",Recent Releases,https://image.tmdb.org/t/p/w500/c9FiTIiXPgsjrCFvmNR5rurtD9F.jpg,471858
Black Warrant,Recent Releases,Crime Thriller,"Based on true events inside Tihar Jail, exploring the lives of inmates and guards.",Recent Releases,https://image.tmdb.org/t/p/w500/A7vFFZHbDyxfjuYKzJwruTnwwjT.jpg,983768
Tehran,Recent Releases,Thriller,A geopolitical thriller following espionage and intelligence operations in the Middle East.,Recent Releases,,387622
Dabba Cartel,Recent Releases,Crime Drama,A series about housewives who accidentally become part of a drug cartel operation.,Recent Releases,,
Emergency,Recent Releases,Political Drama,A film about India's Emergency period (1975-1977) and its impact on democracy.,Recent Releases,https://image.tmdb.org/t/p/w500/8bu8pRycmzrRPE8e9UMHMSXO6fn.jpg,1232222
Mr. Bachchan,Recent Releases,Action Crime Drama,"An honest income tax officer suspended for his integrity conducts a dangerous raid on a corrupt politician, inspired by true events.",Recent Releases,https://image.tmdb.org/t/p/w500/55TWpe9GvJEx2dq8fWoroIbJRvI.jpg,1232219
Aindham Vedham,Recent Releases,Mythological Thriller Series,"A woman is entrusted with an ancient relic connected to the mythical Fifth Veda, facing dark forces in her quest.",Recent Releases,,
Akini Akini,Recent Releases,Comedy,A comedy film exploring family dynamics and relationships with humor and heart.,Recent Releases,,
8 Vasantalu,Recent Releases,Coming-of-Age Romantic Drama,"After losing her army father, a writer and martial artist channels grief through writing, experiences love and heartbreak leading to personal transformation.",Recent Releases,https://image.tmdb.org/t/p/w500/z6mVibOXbNw9grRX689MfrbIQsl.jpg,1370032
Sundarakanda,Recent Releases,Romantic Comedy,"A middle-aged bachelor searching for love with specific qualities meets his ideal match, but faces opposition from her mother.",Recent Releases,,82924
