Name,Location,Cuisine_Type,Price_Range,Veg/Non-Veg,Rating,Hours,Image_URL,Google_Maps_URL
Editor's Pick - Jaipur Palace Paris,"15-17 Rue des Messageries, 75010 Paris",Indian Buffet,€20-30,Both,4.4,"Daily: 12pm-3pm, 6:30pm-11:30pm",https://cdn.thefork.com/tf-lab/image/upload/restaurant/de1cf71a-2e45-4712-b9e2-e77241cace1b/7128a925-cb61-439a-a599-86fd651f2b7f.jpg,https://share.google/Fw6toh9PyIfMzRuUR
Bollynan Streetfood indienne - Grands Boulevards,"10 Bd Poissonnière, 75009 Paris",Modern Indian/Street Food,€10-20,Both,4.7,"Mon-Wed: 11:30am-10:30pm, Thu-Fri: 11:30am-11:30pm, Sat: 12pm-11:30pm, Sun: 12pm-10:30pm",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/f0/3f/66/bollynan-street-food.jpg?w=900&h=500&s=1,https://share.google/CIzsDDSoU7UHZo8qR
Le Trésor du Kashmir,"6 Pass. Brady, 75010 Paris",North Indian,€20-30,Both,4.6,"Daily: 12pm-2:30pm, 7pm-10:30pm",https://images.restopolitan.com/restaurant/tresor-du-kashmir/307864/Detail.jpg,https://share.google/7Fsd23L7QGrfkBatj
The Crossing Indian Restaurant,"35 Bd Haussmann, 75009 Paris",Modern Indian/Fine Dining,€30-40,Both,4.7,"Mon-Sat: 12pm-8pm, Sun: 12pm-6:45pm",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQft0770z51acS7BroJ-qFcy7xDo4WEGceQMQ&s,https://share.google/eEhIreBuOMNjjjd7n
Arya Bhavan Paris,"170 Rue du Faubourg Saint-Denis, 75010 Paris",South Indian Vegetarian,€10-20,Vegetarian Only,3.9,Daily: 10am-11pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZWxHQJ1DcArAcnr-Gzj2wwHfBhaq3Gv_Ez4RLzKC0OD1d_0KofxdG1Oj2uW5Yq68x78IevNvGU5eyXNTM5MnzLjEqZ5psx2ZEEzDtbdrety4oD0JIIqGYZ0PL93DHP0u8hN8=s1360-w1360-h1020-rw,https://share.google/k9f8qKOXEsW9xF8F8
Sarvanaa Bhavan Paris,"166 Rue du Faubourg Saint-Denis, 75010 Paris",South Indian Vegetarian,€10-20,Vegetarian Only,5,Daily: 6:30am-12am (24hr operation),https://www.saravanaabhavanparis.com/images/world-map.jpg,https://www.saravanaabhavanparis.com/
Mumbai Café,"6 Rue de Trévise, 75009 Paris",North Indian,€20-30,Both,4.6,Daily: 8:30am-10:30pm,https://fr.newtable.com/uploads/medias/restaurants/images/thumbs/29941-photo1.jpg,https://share.google/6L4rejeWqRNM3xl2V
Old Shalimar,"92 Pass. Brady, 75010 Paris",North Indian,€10-20,Both,4.7,"Mon-Sat: 11:30am-3pm, 6pm-11:30pm, Sun: 6:30pm-11pm",https://v2cdn0.centralappstatic.com/image/clip/2000x1200_cover_49a131d96d094c4283d3c0d564987ce5.jpeg?edge=1200&format=webp,https://share.google/uzp6KJYwzpilYTaHC
Haweli House Restaurant Indien 100% Végétarien,"36 Rue de Chabrol, 75010 Paris",Punjabi Vegetarian,€15-25,Vegetarian Only,4.9,"Daily: 11:30am-2:30pm, 6:30pm-11pm",https://resizer.otstatic.com/v3/photos/85242997-1?width=1280&height=720&webp=true,https://share.google/k4X4IcejWJnXSHOdq
La Cuisine de l'Himalaya,"44 Rue du Faubourg du Temple, 75010 Paris",Indian/Nepalese/Tibetan,€20-30,Both,4.9,"Daily: 11:30am-3pm, 6pm-10:30pm",https://cuisinehimalaya.com/wp-content/uploads/2023/09/header-home-bright.jpg,https://share.google/p4xCzaxfSEzC6Penm
Bowly Wood Indian Kitchen,"3 Rue Vignon, 75008 Paris",South Indian,€10-20,Both,4.7,Daily: 11:30am-10pm,https://delicity.b-cdn.net/public/merchants/bowly-wood-indian-kitchen-paris/logo/XpDQySad2notm7AL_base.png?width=300&aspect_ratio=1:1,https://share.google/NdOemhfNBKxNcr6v0
Namaste Paris,"17 bis Quai des Grands Augustins, 75006 Paris",North Indian,€10-20,Both,4.3,Tue-Mon: 11:30am-12am (Closed Mon evening),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/c6/e5/45/caption.jpg?w=1100&h=1100&s=1,https://share.google/KDX1Vvvcqbvx0ETnw
Les Délices Du Kashmir,"19 Rue du Départ, 75014 Paris",North Indian,€20-30,Both,4.6,Daily: 11:30am-1am,https://cdn.thefork.com/tf-lab/image/upload/restaurant/4118c94a-b6be-4f4c-acbb-59fe35555e4a/420980bf-76e2-4d67-9285-24ec7dc90c66.jpg,https://share.google/oY9m9p3LUJarrd1E1
Bollynan streetfood indienne - Montorgueil,"12 Rue des Petits Carreaux, 75002 Paris",Modern Indian/Street Food,€10-20,Both,4.7,Daily: 11:30am-10:45pm,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/f0/3f/66/bollynan-street-food.jpg?w=900&h=500&s=1,https://share.google/wxXoDKN2hJdydbN2K
Ministry of Spice - Modern Indian Cuisine,"22 Av. Duquesne, 75007 Paris",Modern Indian/Fine Dining,€20-40,Both,4.7,"Mon-Fri: 12:15pm-2:15pm, 7pm-10pm, Sat: 7pm-10pm",https://ministryofspice.fr/ministryofspiceparis.jpg,https://share.google/IKmJQRptxfisfZ1kH
Khajuraho,"14 Bd de la Tour-Maubourg, 75007 Paris",North Indian,€30-40,Both,4.6,"Daily: 12pm-2pm, 7pm-10pm",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/19/66/74/interior.jpg?w=500&h=-1&s=1,https://share.google/xhP28vu2LB6tvmIJ1
Le Maharajah,"2 Rue Philippe de Dangeau, 78000 Versailles",North Indian,€20-30,Both,4.1,"Daily: 11:30am-2:30pm, 6:15pm-10:30pm",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/f8/3a/63/restaurant-indien-pakistanais.jpg?w=900&h=500&s=1,https://www.lemaharajahversailles.fr/
Restaurant Dip Tandoori,"5 Bd Saint-Marcel, 75013 Paris",North Indian/Tandoori,€20-30,Both,4.5,"Mon-Wed: 11:45am-2:30pm, 6pm-10:30pm, Thu-Sat: 11:45am-2:30pm, 6pm-10:45pm, Sun: 11:45am-2:30pm, 6pm-10:30pm","https://cdn.thefork.com/tf-lab/image/upload/w_1080,c_fill,q_auto,f_auto/restaurant/12fcd931-f07a-437b-a125-3c019bcb8a39/c6e36364-94fb-489e-88a9-fb8d488e9e3f.jpg",https://share.google/KouwZxQnQc30mHKPa
Happy Punjab,"21 Rue des Chantiers, 78000 Versailles",Punjabi,€10-20,Both,4.1,"Daily: 11am-2:30pm, 6pm-11pm",https://content.jdmagicbox.com/comp/ghaziabad/a3/011pxx11.xx11.191112200827.w4a3/catalogue/happy-punjab-ghaziabad-q7gisimzar.jpg,https://share.google/bockRTELLno1zKvOF